"","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","AvgHrs"
"51",58,"Stayed","Non-Travel","Research & Development",2,"Bachelor","Life Sciences","Male","2","Manufacturing Director","Divorced",39680,2,13,"2",12,3,5,1,2,"Very High","High","Better","Medium","Excellent",10.9
"52",31,"Stayed","Travel-Rarely","Research & Development",20,"Below College","Technical Degree","Female","3","Research Scientist","Married",99070,0,13,"1",6,3,5,0,3,"High","Very High","Better","Medium","Excellent",9.13
"53",31,"Stayed","Travel-Rarely","Sales",7,"Master","Marketing","Male","2","Sales Executive","Married",132250,3,21,"1",9,2,2,1,0,"Low","Low","Better","High","Outstanding",6.83
"54",45,"Stayed","Travel-Frequently","Research & Development",3,"Below College","Medical","Female","1","Sales Executive","Divorced",35400,1,13,"0",24,6,24,9,11,"Low","Low","Better","High","Excellent",7.32
"55",31,"Stayed","Travel-Rarely","Sales",16,"Master","Marketing","Female","2","Research Scientist","Divorced",28040,0,19,"2",3,0,2,2,2,"High","Very High","Bad","High","Excellent",8.61
"56",33,"Stayed","Travel-Frequently","Research & Development",9,"Bachelor","Life Sciences","Male","4","Research Director","Married",193920,6,12,"1",12,3,10,8,8,"Very High","Medium","Better","High","Excellent",6.79
"57",39,"Stayed","Travel-Rarely","Sales",1,"Master","Life Sciences","Male","1","Sales Executive","Married",196650,1,22,"1",21,6,21,11,10,"High","Low","Better","High","Outstanding",10.99
"58",43,"Stayed","Travel-Frequently","Research & Development",7,"Master","Medical","Male","4","Research Scientist","Single",24390,0,15,"0",9,2,8,1,7,"High","Very High","Better","High","Excellent",7.69
"59",49,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Life Sciences","Male","3","Manufacturing Director","Single",73140,7,22,"0",25,2,7,0,7,"High","High","Better","High","Outstanding",9.95
"60",52,"Left","Travel-Rarely","Research & Development",7,"Below College","Life Sciences","Female","2","Research Scientist","Married",47740,2,18,"1",11,2,8,7,7,"High","Medium","Good","High","Excellent",7.91
"61",27,"Stayed","Travel-Rarely","Research & Development",15,"Master","Medical","Male","3","Research Scientist","Single",39020,1,22,"0",4,2,4,1,2,"High","Medium","Good","High","Outstanding",10.67
"62",32,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Life Sciences","Male","3","Research Scientist","Married",26620,1,11,"1",13,6,13,11,9,"High","Medium","Better","Very High","Excellent",10.5
"63",27,"Stayed","Travel-Rarely","Research & Development",13,"College","Medical","Female","4","Research Director","Single",28560,1,12,"2",5,5,5,0,4,"Very High","High","Better","Very High","Excellent",10.07
"64",31,"Stayed","Travel-Rarely","Sales",24,"Bachelor","Life Sciences","Male","2","Healthcare Representative","Divorced",10810,4,11,"3",13,4,7,1,7,"Very High","Very High","Better","Very High","Excellent",6.61
"65",32,"Stayed","Travel-Rarely","Research & Development",7,"Bachelor","Technical Degree","Male","2","Healthcare Representative","Single",24720,7,13,"0",10,2,7,0,7,"Low","Very High","Good","High","Excellent",7.5
"66",28,"Left","Travel-Rarely","Research & Development",9,"Master","Medical","Male","1","Sales Executive","Married",56730,5,14,"1",5,4,3,2,2,"Low","Very High","Good","Medium","Excellent",10.73
"67",30,"Stayed","Travel-Rarely","Research & Development",13,"Bachelor","Life Sciences","Female","4","Research Director","Married",41970,1,13,"0",11,3,10,1,9,"Very High","Very High","Better","High","Excellent",6.18
"68",31,"Stayed","Travel-Frequently","Research & Development",2,"Below College","Life Sciences","Female","1","Manager","Married",97130,1,17,"0",10,5,10,8,9,"High","High","Better","Medium","Excellent",6.61
"69",39,"Stayed","Travel-Frequently","Research & Development",19,"Master","Medical","Female","1","Research Scientist","Married",20620,1,13,"0",21,4,21,13,3,"High","Very High","Better","High","Excellent",6.08
"70",39,"Left","Travel-Rarely","Research & Development",1,"Below College","Medical","Female","1","Laboratory Technician","Married",42840,4,17,"1",12,0,1,0,0,"Very High","High","Good","High","Excellent",9.97
"71",33,"Stayed","Travel-Frequently","Sales",4,"College","Life Sciences","Male","4","Research Scientist","Single",47880,3,11,"1",9,0,7,0,1,"Medium","Very High","Good","High","Excellent",7.42
"72",47,"Stayed","Travel-Rarely","Research & Development",4,"Bachelor","Life Sciences","Female","2","Healthcare Representative","Married",59060,4,23,"0",21,4,3,1,1,"Very High","High","Better","Very High","Outstanding",6.49
"73",43,"Stayed","Travel-Frequently","Research & Development",14,"Bachelor","Medical","Female","5","Research Director","Divorced",38860,1,17,"2",9,2,9,0,0,"High","High","Best","High","Excellent",6.3
"74",27,"Stayed","Non-Travel","Research & Development",2,"Bachelor","Life Sciences","Male","1","Research Director","Married",168230,0,17,"0",6,3,5,1,4,"High","Medium","Better","High","Excellent",9.32
"75",54,"Stayed","Travel-Frequently","Research & Development",1,"Master","Life Sciences","Male","2","Research Scientist","Single",29330,3,12,"2",20,2,4,0,3,"Very High","High","Good","High","Excellent",6.1
"76",43,"Stayed","Travel-Rarely","Research & Development",7,"College","Life Sciences","Female","2","Manager","Married",65000,8,23,"0",10,3,1,0,0,"High","Low","Good","High","Outstanding",7.22
"77",45,"Stayed","Travel-Rarely","Sales",3,"Below College","Marketing","Female","1","Sales Executive","Married",171740,9,14,"1",12,6,10,9,8,"Very High","Very High","Better","High","Excellent",7.1
"78",40,"Stayed","Travel-Rarely","Research & Development",2,"Master","Other","Male","4","Research Scientist","Married",50330,2,14,"2",6,6,4,0,2,"Medium","Very High","Good","High","Excellent",9.91
"79",29,"Left","Travel-Rarely","Research & Development",29,"Bachelor","Medical","Female","1","Research Scientist","Married",23070,1,13,"1",7,0,7,0,7,"Medium","Low","Good","High","Excellent",10.48
"80",29,"Stayed","Travel-Rarely","Human Resources",8,"Bachelor","Medical","Male","3","Sales Representative","Single",25870,0,22,"2",4,3,3,2,2,"Medium","Very High","Better","High","Outstanding",6.91
"81",30,"Stayed","Travel-Rarely","Research & Development",10,"Bachelor","Life Sciences","Male","2","Research Scientist","Divorced",55070,1,12,"2",10,2,10,1,2,"Very High","High","Better","Medium","Excellent",7.59
"82",27,"Stayed","Travel-Rarely","Research & Development",11,"College","Medical","Male","1","Manager","Married",43930,1,18,"1",8,2,8,0,7,"Medium","Medium","Better","Medium","Excellent",6.08
"83",37,"Stayed","Travel-Rarely","Sales",1,"Master","Life Sciences","Male","2","Healthcare Representative","Divorced",133480,7,14,"0",8,4,6,0,4,"Very High","Very High","Good","High","Excellent",6
"84",38,"Stayed","Travel-Rarely","Research & Development",28,"Master","Medical","Male","1","Laboratory Technician","Divorced",65830,0,12,"0",12,1,11,2,9,"High","Very High","Better","High","Excellent",8.98
"85",31,"Stayed","Travel-Rarely","Research & Development",6,"Bachelor","Medical","Female","3","Manager","Single",81030,1,15,"1",11,5,11,4,10,"High","Very High","N/A","High","Excellent",10.43
"86",29,"Stayed","Travel-Rarely","Research & Development",3,"Master","Life Sciences","Male","3","Sales Executive","Divorced",39780,1,11,"0",7,0,7,1,7,"Very High","Medium","Better","High","Excellent",8.39
"87",35,"Stayed","Travel-Rarely","Sales",16,"College","Technical Degree","Male","3","Manager","Single",25440,0,13,"1",17,3,16,0,13,"High","Medium","Better","Very High","Excellent",7.91
"88",23,"Stayed","Travel-Rarely","Research & Development",20,"Master","Life Sciences","Male","1","Manufacturing Director","Divorced",53990,1,23,"0",4,2,4,0,2,"High","Very High","Good","Medium","Outstanding",7.11
"89",41,"Stayed","Travel-Rarely","Research & Development",9,"College","Life Sciences","Female","1","Laboratory Technician","Single",54870,6,19,"2",8,0,5,1,2,"Very High","Medium","Better","High","Excellent",9.69
"90",47,"Stayed","Travel-Frequently","Sales",1,"Bachelor","Medical","Female","2","Laboratory Technician","Single",68340,3,16,"1",5,2,0,0,0,"Medium","High","Better","Very High","Excellent",7.77
"91",42,"Stayed","Travel-Rarely","Research & Development",3,"Master","Life Sciences","Male","1","Manager","Single",10910,2,22,"0",16,0,1,0,0,"Low","Very High","Better","Low","Outstanding",6.28
"92",29,"Stayed","Non-Travel","Sales",22,"Master","Marketing","Male","2","Human Resources","Married",57360,1,22,"0",4,1,4,0,2,"Very High","High","Good","Medium","Outstanding",6.31
"93",42,"Stayed","Travel-Rarely","Sales",7,"Master","Medical","Male","3","Research Scientist","Divorced",22260,0,12,"1",4,3,3,1,0,"High","High","Better","Medium","Excellent",8.83
"94",32,"Stayed","Travel-Rarely","Research & Development",2,"Bachelor","Medical","Male","2","Research Scientist","Married",57470,1,13,"0",8,0,8,0,7,"High","Medium","Better","High","Excellent",7.72
"95",48,"Stayed","Travel-Rarely","Sales",13,"Master","Medical","Male","4","Sales Executive","Married",98540,3,16,"1",15,2,0,0,0,"Low","High","Bad","Medium","Excellent",7.32
"96",37,"Stayed","Travel-Rarely","Research & Development",8,"Doctor","Technical Degree","Male","2","Manufacturing Director","Divorced",54670,4,12,"0",13,2,7,6,7,"High","Low","Better","High","Excellent",10.8
"97",30,"Stayed","Non-Travel","Sales",25,"Master","Other","Male","1","Healthcare Representative","Married",53800,7,21,"1",4,0,2,2,2,"Very High","High","Best","High","Outstanding",10.4
"98",26,"Stayed","Travel-Rarely","Sales",28,"Bachelor","Medical","Female","5","Laboratory Technician","Married",51510,1,15,"3",8,3,8,7,7,"High","High","Better","High","Excellent",5.99
"99",42,"Stayed","Travel-Rarely","Sales",2,"College","Medical","Female","1","Laboratory Technician","Single",21330,3,13,"2",14,2,1,0,0,"Low","Very High","Better","High","Excellent",6.11
"100",21,"Left","Travel-Frequently","Research & Development",9,"Bachelor","Medical","Female","4","Manufacturing Director","Single",178750,1,12,"0",3,5,3,1,2,"Low","Medium","Better","Medium","Excellent",8.13
"101",36,"Stayed","Non-Travel","Human Resources",28,"Bachelor","Human Resources","Male","2","Laboratory Technician","Single",24320,4,22,"0",7,4,1,0,0,"Very High","Very High","Better","Low","Outstanding",7.31
"102",36,"Stayed","Travel-Frequently","Research & Development",6,"Bachelor","Life Sciences","Female","2","Research Scientist","Married",47710,4,13,"1",16,2,13,1,12,"Low","Very High","Better","High","Excellent",7.11
"103",57,"Stayed","Travel-Rarely","Research & Development",21,"Master","Life Sciences","Male","5","Research Scientist","Married",191610,2,18,"0",15,2,3,1,2,"Very High","High","Better","Low","Excellent",6.33
"104",40,"Stayed","Travel-Rarely","Research & Development",8,"Bachelor","Other","Male","2","Sales Executive","Married",50870,3,14,"1",10,3,7,1,7,"Very High","High","Better","High","Excellent",8.13
"105",21,"Stayed","Non-Travel","Research & Development",1,"Doctor","Life Sciences","Female","2","Manager","Single",28630,1,14,"0",3,2,3,2,2,"Low","Very High","Good","Low","Excellent",7.99
"106",33,"Left","Travel-Rarely","Human Resources",28,"College","Human Resources","Female","5","Manager","Single",55610,1,21,"1",1,3,1,0,0,"Very High","High","Better","Low","Outstanding",10.51
"107",37,"Stayed","Travel-Rarely","Research & Development",5,"Bachelor","Life Sciences","Male","4","Research Scientist","Married",21440,6,19,"0",17,3,5,0,3,"High","Low","Better","Very High","Excellent",7.99
"108",46,"Stayed","Non-Travel","Sales",2,"Master","Marketing","Female","2","Laboratory Technician","Married",30650,2,11,"0",7,3,1,0,0,"High","High","Best","High","Excellent",6.1
"109",41,"Left","Travel-Frequently","Research & Development",16,"Below College","Medical","Female","1","Research Scientist","Single",28100,1,11,"0",8,3,8,7,7,"Low","Medium","Better","Very High","Excellent",7.59
"110",50,"Stayed","Travel-Rarely","Research & Development",9,"Bachelor","Medical","Female","3","Laboratory Technician","Single",98880,6,15,"0",20,2,4,1,3,"Very High","Very High","Better","High","Excellent",6.89
"111",40,"Left","Travel-Rarely","Research & Development",8,"Bachelor","Medical","Female","1","Healthcare Representative","Married",86280,2,20,"0",8,2,6,1,0,"High","High","Better","Medium","Outstanding",9.3
"112",31,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Life Sciences","Male","4","Human Resources","Single",28670,0,24,"0",3,5,2,2,2,"N/A","Medium","Better","High","Outstanding",10.81
"113",21,"Left","Travel-Rarely","Human Resources",10,"College","Human Resources","Male","1","Laboratory Technician","Single",53730,1,12,"1",1,2,1,0,0,"High","Medium","Better","High","Excellent",6
"114",29,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Life Sciences","Female","2","Research Director","Single",66670,9,12,"1",6,6,3,1,2,"Very High","Very High","Better","Very High","Excellent",7.79
"115",35,"Stayed","Travel-Rarely","Research & Development",29,"Bachelor","Life Sciences","Female","3","Sales Executive","Single",50030,9,15,"0",10,2,1,0,0,"High","Medium","Better","High","Excellent",7.72
"116",27,"Stayed","Travel-Rarely","Sales",2,"Bachelor","Life Sciences","Male","1","Sales Executive","Divorced",23670,2,12,"1",5,2,5,0,4,"Very High","Medium","Better","High","Excellent",6.19
"117",28,"Stayed","Travel-Rarely","Research & Development",2,"College","Medical","Male","3","Manager","Single",28580,1,12,"0",7,2,7,0,7,"Medium","Very High","Better","Medium","Excellent",7.12
"118",49,"Stayed","Travel-Rarely","Sales",2,"Bachelor","Technical Degree","Male","2","Manufacturing Director","Single",52040,8,14,"1",26,3,5,0,0,"Medium","High","Better","High","Excellent",7.83
"119",51,"Stayed","Travel-Rarely","Research & Development",1,"College","Life Sciences","Male","1","Sales Executive","Married",41050,4,22,"1",18,2,7,0,7,"High","Very High","Good","High","Outstanding",7.62
"120",36,"Stayed","Travel-Rarely","Sales",15,"College","Life Sciences","Male","1","Sales Executive","Married",96790,4,12,"0",6,1,2,2,2,"Very High","High","Better","High","Excellent",6
"121",34,"Left","Non-Travel","Research & Development",7,"Bachelor","Life Sciences","Male","1","Sales Representative","Single",56170,8,25,"1",9,3,5,0,4,"Low","Very High","Good","High","Outstanding",9.11
"122",55,"Stayed","Travel-Rarely","Sales",26,"Bachelor","Marketing","Male","1","Laboratory Technician","Single",104480,2,13,"0",30,3,5,1,2,"High","Very High","Better","High","Excellent",8.68
"123",24,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Life Sciences","Female","5","Manager","Divorced",28970,1,18,"3",5,4,5,0,3,"Very High","High","Best","High","Excellent",9.99
"124",30,"Stayed","Travel-Rarely","Research & Development",3,"Bachelor","Life Sciences","Female","2","Manager","Married",59680,1,13,"0",1,3,1,0,0,"High","Medium","Better","High","Excellent",6.9
"125",26,"Left","Travel-Frequently","Sales",14,"Bachelor","Life Sciences","Male","2","Manager","Single",75100,0,18,"3",7,3,6,0,4,"High","N/A","Better","High","Excellent",7
"126",22,"Stayed","Travel-Rarely","Research & Development",16,"Doctor","Other","Male","1","Research Scientist","Married",29910,1,19,"2",2,3,2,1,2,"Low","Medium","Better","Medium","Excellent",6.29
"127",36,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Medical","Female","5","Healthcare Representative","Married",196360,1,12,"1",10,3,10,9,0,"Medium","High","Better","High","Excellent",6.37
"128",30,"Left","Travel-Frequently","Sales",3,"College","Marketing","Male","3","Research Scientist","Single",11290,9,19,"0",3,2,1,0,0,"High","Very High","Better","Medium","Excellent",8.19
"129",37,"Stayed","Travel-Rarely","Research & Development",10,"Below College","Technical Degree","Male","1","Sales Executive","Divorced",133410,1,14,"1",18,3,18,12,17,"Very High","Low","Good","High","Excellent",6.45
"130",40,"Stayed","Travel-Rarely","Research & Development",6,"College","Medical","Male","3","Research Scientist","Divorced",43320,7,14,"2",8,3,5,1,3,"Very High","Medium","Better","Medium","Excellent",6.68
"131",42,"Stayed","Travel-Rarely","Research & Development",2,"Bachelor","Medical","Female","4","Manager","Divorced",110310,3,12,"1",8,2,5,1,2,"Medium","Low","Better","Medium","Excellent",7.48
"132",37,"Stayed","Travel-Rarely","Sales",9,"Below College","Marketing","Male","3","Sales Executive","Single",44400,2,11,"1",18,3,1,0,1,"High","Medium","Good","Medium","Excellent",9.92
"133",43,"Stayed","Travel-Rarely","Sales",10,"College","Life Sciences","Female","1","Sales Executive","Divorced",46170,1,11,"0",25,2,25,3,9,"Low","Medium","Better","High","Excellent",7.42
"134",40,"Stayed","Travel-Rarely","Sales",6,"College","Life Sciences","Female","1","Laboratory Technician","Married",26470,6,13,"0",20,2,1,0,0,"Medium","High","Better","Medium","Excellent",7.5
"135",54,"Stayed","Travel-Rarely","Human Resources",9,"Bachelor","Life Sciences","Female","2","Manufacturing Director","Married",63230,4,23,"1",24,2,4,1,2,"Low","Low","Good","Medium","Outstanding",6
"136",34,"Stayed","Non-Travel","Research & Development",28,"Bachelor","Medical","Male","1","Laboratory Technician","Married",56770,9,20,"1",6,3,3,1,2,"High","High","Better","High","Outstanding",6.86
"137",31,"Stayed","Travel-Rarely","Research & Development",10,"Master","Life Sciences","Male","3","Sales Executive","Married",21870,1,15,"1",13,2,13,3,12,"Medium","Low","Bad","Medium","Excellent",6.13
"138",43,"Stayed","Travel-Frequently","Sales",14,"Bachelor","Life Sciences","Female","1","Manufacturing Director","Married",37480,7,14,"2",10,3,3,1,2,"Very High","Very High","Better","Medium","Excellent",7.67
"139",43,"Stayed","Travel-Rarely","Sales",27,"Master","Life Sciences","Male","2","Sales Representative","Divorced",39770,4,18,"1",8,3,5,0,2,"High","High","Better","High","Excellent",8.88
"140",25,"Stayed","Travel-Rarely","Human Resources",7,"College","Human Resources","Male","1","Manufacturing Director","Single",86330,1,19,"1",5,2,5,1,3,"Medium","Very High","Better","Very High","Excellent",10.9
"141",37,"Stayed","Non-Travel","Research & Development",1,"Bachelor","Medical","Male","3","Laboratory Technician","Married",20080,3,22,"0",15,5,13,10,7,"Medium","High","Better","Medium","Outstanding",10.69
